Date,topic,retweets,valence,count
2009-08-26,cannabis,TRUE,Neutral,0
2009-08-27,cannabis,TRUE,Neutral,0
2009-08-28,cannabis,TRUE,Neutral,0
2009-08-29,cannabis,TRUE,Neutral,0
2009-08-30,cannabis,TRUE,Neutral,0
2009-08-31,cannabis,TRUE,Neutral,0
2009-09-01,cannabis,TRUE,Neutral,1
2009-09-02,cannabis,TRUE,Neutral,0
2009-09-03,cannabis,TRUE,Neutral,0
2009-09-04,cannabis,TRUE,Neutral,0
2009-09-05,cannabis,TRUE,Neutral,0
2009-09-06,cannabis,TRUE,Neutral,0
2009-09-07,cannabis,TRUE,Neutral,1
2009-09-08,cannabis,TRUE,Neutral,0
2009-09-09,cannabis,TRUE,Neutral,0
2009-09-10,cannabis,TRUE,Neutral,1
2009-09-11,cannabis,TRUE,Neutral,0
2009-09-12,cannabis,TRUE,Neutral,1
2009-09-13,cannabis,TRUE,Neutral,0
2009-09-14,cannabis,TRUE,Neutral,1
2009-09-15,cannabis,TRUE,Neutral,1
2009-09-16,cannabis,TRUE,Neutral,0
2009-09-17,cannabis,TRUE,Neutral,0
2009-09-18,cannabis,TRUE,Neutral,0
2009-09-19,cannabis,TRUE,Neutral,1
2009-09-20,cannabis,TRUE,Neutral,0
2009-09-21,cannabis,TRUE,Neutral,0
2009-09-22,cannabis,TRUE,Neutral,2
2009-09-23,cannabis,TRUE,Neutral,0
2009-09-24,cannabis,TRUE,Neutral,0
2009-09-25,cannabis,TRUE,Neutral,0
2009-09-26,cannabis,TRUE,Neutral,0
2009-09-27,cannabis,TRUE,Neutral,0
2009-09-28,cannabis,TRUE,Neutral,1
2009-09-29,cannabis,TRUE,Neutral,0
2009-09-30,cannabis,TRUE,Neutral,0
2009-10-01,cannabis,TRUE,Neutral,0
2009-10-02,cannabis,TRUE,Neutral,0
2009-10-03,cannabis,TRUE,Neutral,0
2009-10-04,cannabis,TRUE,Neutral,2
2009-10-05,cannabis,TRUE,Neutral,0
2009-10-06,cannabis,TRUE,Neutral,0
2009-10-07,cannabis,TRUE,Neutral,1
2009-10-08,cannabis,TRUE,Neutral,0
2009-10-09,cannabis,TRUE,Neutral,0
2009-10-10,cannabis,TRUE,Neutral,0
2009-10-11,cannabis,TRUE,Neutral,0
2009-10-12,cannabis,TRUE,Neutral,1
2009-10-13,cannabis,TRUE,Neutral,1
